state,0-14 year,15-34 year,34-54 year,greater ten 54,unknown age,Pedestrians,Two-wheelers,Light four wheelers,Trucks and Buses
Lakshadweep,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,0,9,9,4,1,,,,
Nagaland,2,12,9,7,0,5,6,5,12
Dadra & Nagar Haveli,0,27,11,4,0,17,8,0,0
Daman & Diu,0,17,23,2,0,11,20,4,1
Sikkim,5,41,21,3,0,3,6,49,9
Mizoram,3,40,28,1,0,10,16,28,17
Chandigarh,6,50,47,26,0,47,54,6,2
Arunachal Pradesh,0,84,39,4,0,0,28,23,39
Manipur,3,87,40,9,0,0,31,34,36
Tripura,6,79,47,26,0,29,33,22,39
Meghalaya,27,102,44,10,0,5,5,49,93
Puducherry,4,111,71,43,6,50,136,1,10
Goa,10,176,91,34,0,64,200,29,8
Uttarakhand,48,513,234,112,6,106,347,224,133
Jammu & Kashmir,16,304,219,115,263,28,212,232,262
Himachal Pradesh,62,620,299,103,12,0,258,448,290
Delhi,70,652,59,349,492,684,567,105,17
Assam,161,1485,533,207,11,36,540,583,629
Jharkhand,70,1699,711,140,273,34,895,418,814
Chhattisgarh,131,2214,1329,385,23,42,1243,566,937
Kerala,222,2031,1239,704,0,1300,1668,454,330
Orissa,140,2250,1444,350,119,318,1371,711,854
Haryana,620,2373,1079,497,310,228,1076,484,687
Punjab,139,2487,1613,397,257,423,1984,1098,644
Bihar,542,3253,1046,447,133,184,1052,767,1669
West Bengal,448,3067,1593,679,447,109,1359,963,2130
Telangana,258,3366,2614,753,119,598,2196,894,1433
Gujarat,286,4806,2501,526,0,719,2150,1963,1530
Andhra Pradesh,349,3476,3215,1111,146,691,2532,1199,1324
Madhya Pradesh,80,5497,2398,862,477,1962,3172,1210,1120
Rajasthan,486,6240,3180,604,0,867,2700,2617,2380
Karnataka,224,5459,3589,1563,21,1207,4353,1433,1578
Maharashtra,0,7774,5382,56,0,1162,4514,1932,1912
Tamil Nadu,417,7666,5489,1942,128,2618,6909,2644,2088
Uttar Pradesh,1102,11009,3486,1403,666,325,4420,3989,4326
India,5937,79076,43732,13478,3910,13894,46070,25184,27354
