state,state,,,,,Pedestrians,Two-wheelers,Light four wheelers,Heavy Vehicles
Lakshadweep,Lakshadweep,,,,,0,0,0,0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,,,,,0,4,7,12
Nagaland,Nagaland,,,,,0,4,8,44
Dadra & Nagar Haveli,Dadra & Nagar Haveli,,,,,0,20,8,32
Daman & Diu,Daman & Diu,,,,,0,8,7,14
Sikkim,Sikkim,,,,,0,2,23,23
Mizoram,Mizoram,,,,,1,4,10,31
Chandigarh,Chandigarh,,,,,0,25,70,41
Arunachal Pradesh,Arunachal Pradesh,,,,,2,20,21,23
Manipur,Manipur,,,,,0,18,15,69
Tripura,Tripura,,,,,11,15,93,83
Meghalaya,Meghalaya,,,,,4,11,20,68
Puducherry,Puducherry,,,,,0,69,37,139
Goa,Goa,,,,,5,155,44,45
Uttarakhand,Uttarakhand,,,,,12,82,272,547
Jammu & Kashmir,Jammu & Kashmir,,,,,0,101,184,432
Himachal Pradesh,Himachal Pradesh,,,,,2,110,266,386
Delhi,Delhi,,,,,0,211,296,993
Assam,Assam,,,,,82,247,347,719
Jharkhand,Jharkhand,,,,,125,412,363,945
Chhattisgarh,Chhattisgarh,,,,,44,461,383,1240
Kerala,Kerala,,,,,13,898,1216,1359
Orissa,Orissa,,,,,73,605,507,1489
Haryana,Haryana,,,,,79,322,1175,1728
Punjab,Punjab,,,,,0,435,828,1318
Bihar,Bihar,,,,,63,348,907,1586
West Bengal,West Bengal,,,,,91,389,1145,2099
Telangana,Telangana,,,,,,,,
Gujarat,Gujarat,,,,,380,1094,1675,2862
Andhra Pradesh,Andhra Pradesh,,,,,197,1561,2412,4405
Madhya Pradesh,Madhya Pradesh,,,,,0,1100,1354,3549
Rajasthan,Rajasthan,,,,,15,1046,2062,3720
Karnataka,Karnataka,,,,,23,1912,1660,4057
Maharashtra,Maharashtra,,,,,89,2392,2743,3667
Tamil Nadu,Tamil Nadu,,,,,172,2451,3538,4336
Uttar Pradesh,Uttar Pradesh,,,,,361,1971,3045,4691
India,India,,,,,13894,18503,26721,46555
