Number of Accidents,Persons Killed,Persons Injured,Number of Accidents,Persons Killed,Persons Injured,Number of Accidents,Persons Killed,Persons Injured,Number of Accidents,Persons Killed,Persons Killed,Number of Accidents,
42,20,30,440,150,642,12678,4101,14579,490,117,620,441,Andhra Pradesh
0,0,0,0,0,0,26,12,26,22,10,28,0,Arunachal Pradesh
59,20,57,16,2,17,3944,1281,4494,611,249,402,16,Assam
37,28,10,162,112,112,2367,1366,1687,1457,867,991,165,Bihar
19,5,17,200,65,176,6501,1709,6346,227,78,203,200,Chhattisgarh
1,0,0,61,4,25,3060,217,1338,6,0,1,61,Goa
33,3,37,244,112,238,13812,4861,12698,361,121,274,244,Gujarat
179,99,277,163,56,225,4148,1674,3647,1092,478,891,254,Haryana
0,0,0,6,2,4,2670,941,4691,50,9,81,6,Himachal Pradesh
0,0,0,54,17,19,2849,214,2994,375,99,1037,54,Jammu & Kashmir
14,0,14,26,32,13,1576,780,949,1518,906,1132,40,Jharkhand
289,35,319,738,141,755,22337,3964,27940,298,62,244,813,Karnataka
220,13,264,1162,89,1331,21191,2083,24684,49,11,36,1162,Kerala
671,28,454,1347,224,1045,20311,3244,28742,2665,705,4458,1375,Madhya Pradesh
286,23,96,583,125,348,37196,7758,24622,1345,341,954,645,Maharashtra
0,0,0,0,0,0,0,0,0,0,0,0,0,Manipur
0,0,0,0,0,0,144,41,111,137,21,46,0,Meghalaya
0,0,0,0,0,0,11,18,15,15,9,11,0,Mizoram
0,0,0,1,0,1,4,2,0,2,0,10,1,Nagaland
267,92,203,350,115,379,4103,3160,6482,972,427,3363,443,Odisha
45,37,31,75,60,35,2733,2001,1985,118,91,62,85,Punjab
7,0,7,1007,306,998,10954,4920,12233,667,344,638,1057,Rajastjan
0,0,0,0,0,0,18,5,31,30,7,43,0,Sikkim
974,99,1273,2980,723,3411,38042,9380,44185,818,142,804,3233,Tamil Nadu
0,0,0,46,16,69,15268,4962,16519,42,19,38,46,Telangana
0,0,0,3,0,8,460,101,746,13,5,12,3,Tripura
13,11,10,70,35,11,282,152,260,6,3,5,70,Uttarakhand
84,60,92,214,99,221,6423,3347,4400,2403,1404,1735,257,Uttar Pradesh
166,64,188,218,116,172,2906,1451,2838,413,214,583,245,West Bengal
0,0,0,11,2,46,87,8,90,30,0,23,11,Andaman and Nicobar Islands
15,5,18,17,2,21,157,61,113,8,0,9,40,Chandigarh
0,0,0,1,0,3,16,8,20,6,4,17,1,D & N Haveli
0,0,0,0,0,0,13,2,17,7,6,8,0,Daman & Diu
225,33,221,108,10,102,3148,640,3382,40,6,47,135,Delhi
0,0,0,0,0,0,0,0,0,0,0,0,0,Lakshwadweep
0,0,0,59,13,67,1028,168,988,5,0,7,59,Puducherry
3646,675,3618,10362,2628,10494,240463,64632,253852,16298,6755,18813,11162,
Disregarded Traffic Light sign,,,Improper Roads,,,Exceeding Speed,,,Intake of Alcohol,,,,States/UTs
