,% speed,%drunk driving,% improper passing,%improper direction
Andhra Pradesh,75.01775148,2.899408284,9.591715976,12.49112426
Arunachal Pradesh,27.08333333,22.91666667,13.54166667,36.45833333
Assam,68.51980542,10.61501042,5.125086866,15.74009729
Bihar,36.9670467,22.75495861,8.761518038,31.51647665
Chhattisgarh,72.75881365,2.540570789,11.08002238,13.62059317
Goa,94.91315136,0.1861042184,2.357320099,2.543424318
Gujarat,80.04172462,2.092025962,7.887111729,9.979137691
Haryana,56.17551463,14.78873239,7.123510293,21.91224269
Himachal Pradesh,90.9400545,1.702997275,2.826975477,4.529972752
Jammu & Kashmir,75.95307918,9.997334044,2.026126366,12.02346041
Jharkhand,75.95307918,9.997334044,2.026126366,12.02346041
Karnataka,82.24529622,1.097242167,7.780109724,8.877351891
Kerala,74.65036813,0.1726142248,12.50220171,12.67481594
Madhya Pradesh,56.66973578,7.435618426,14.22951369,21.66513211
Maharashtra,34.44976077,32.77511962,0,32.77511962
Manipur,0,0,0,0
Meghalaya,34.44976077,32.77511962,0,32.77511962
Mizoram,25.58139535,34.88372093,2.325581395,37.20930233
Nagaland,18.18181818,9.090909091,31.81818182,40.90909091
Odisha,49.87237146,11.81475629,13.24905798,25.06381427
Punjab,68.99772785,2.979045696,12.52209038,15.50113608
Rajasthan,55.26740666,3.365287588,19.00100908,22.36629667
Sikkim,17.30769231,28.84615385,12.5,41.34615385
Tamil Nadu,73.50542953,1.58055416,11.66673107,13.24728523
Telangana,98.74532082,0.2716315745,0.3557080142,0.6273395886
Tripura,86.1423221,2.434456929,4.494382022,6.928838951
Uttarakhand,39.83050847,0.8474576271,29.23728814,30.08474576
Uttar Pradesh,42.78862168,16.00826061,12.59742855,28.60568916
West Bengal,58.1432573,8.263305322,12.66506603,20.92837135
Chandigarh,72.75881365,2.540570789,11.08002238,13.62059317
Delhi,79.4548208,1.009591116,9.262998486,10.2725896
Puducherry,92.44604317,0.4496402878,3.327338129,3.776978417
India,59.86911953,9.347881207,9.155059027,18.50294023
