1,1,0,Lakshadweep
531,375,41,Nagaland
718,503,161,Tripura
1027,578,136,Manipur
8855,6014,5554,Bihar
263,189,21,Andaman & Nicobar Islands
675,354,182,Meghalaya
68,55,60,Mizoram
11631,10091,5769,West Bengal
7419,5624,926,Jammu & Kashmir
7170,6163,2783,Assam
5198,3918,3256,Jharkhand
38783,27494,20124,Uttar Pradesh
1631,1603,942,Uttarakhand
316,241,110,Arunachal Pradesh
6673,6604,1584,Delhi
27475,25727,8060,Andhra Pradesh
11198,10855,4790,Odisha
479,196,78,Sikkim
35853,32128,12264,Maharashtra
342,302,107,Chandigarh
67,60,43,Dadra & Nagar Haveli
42671,38470,4131,Kerala
57532,53399,10177,Madhya Pradesh
19081,16802,7289,Gujarat
22112,22071,10444,Rajasthan
13563,12550,4136,Chhattisgarh
5452,3114,1203,Himachal Pradesh
79,70,36,Daman & Diu
6273,4218,4463,Punjab
52961,42542,10609,Karnataka
1741,1693,233,Puducherry
11258,10339,5120,Haryana
3917,1922,328,Goa
74571,65562,16157,Tamil Nadu
23990,22484,6596,Telangana
470975,464910,147913,India
