States,Over-Speeding,driving on wrong side,no violition,drunken driving,use of mbl phone,others,Over-Speeding,driving on wrong side,no violition,drunken driving,use of mbl phone,others
Andhra Pradesh,50877,2873,1230,2686,268,3328,83,4,2,4,0,7
Arunachal Pradesh,68,127,187,53,0,232,10,19,28,7,0,36
Assam,10195,1272,575,868,473,2733,63,7,3,5,2,20
Bihar,13344,3039,777,0,879,2384,65,14,3,0,4,14
Chhattisgarh,19541,3064,1102,222,358,5962,64,10,3,0,1,22
Goa,5599,136,410,17,0,5,90,2,6,0,0,2
Gujarat,35573,2365,882,174,383,3795,82,5,2,0,0,11
Haryana,10684,1068,536,434,219,13776,39,3,2,1,0,55
Himachal Pradesh,1938,5674,1329,760,68,0,19,58,13,7,0,3
Jammu & Kashmir,7344,147,0,2,1,6475,52,1,0,0,0,47
Jharkhand,6350,898,334,1743,483,2564,51,7,2,14,3,23
Karnataka,94846,3698,1088,404,334,5742,89,3,1,0,0,7
Kerala,75513,2794,3230,318,2,3415,88,3,3,0,0,6
Madhya Pradesh,86604,8719,805,2487,1843,20650,71,7,0,2,1,19
Maharashtra,57256,4908,1996,1986,1562,12537,71,6,2,2,1,18
Manipur,478,150,6,124,145,838,27,8,0,7,8,50
Meghalaya,115,272,0,274,162,388,9,22,0,22,13,34
Mizoram,36,7,0,50,0,90,19,3,0,27,0,51
Nagaland,309,46,133,280,23,156,32,4,14,29,2,19
Orissa,14667,2194,561,3694,1724,4003,54,8,2,13,6,17
Punjab,7940,1474,398,294,231,4617,53,9,2,1,1,34
Rajasthan,42236,2629,3817,912,58,4975,77,4,6,1,0,12
Sikkim,319,40,118,81,3,192,42,5,15,10,0,28
Tamil Nadu,123991,7438,7314,4342,2716,10491,79,4,4,2,1,10
Telangana,49810,635,187,315,205,1918,93,1,0,0,0,6
Tripura,1195,117,40,30,0,0,86,8,2,2,0,2
Uttarakhand,2742,250,291,122,102,669,65,5,6,2,2,20
Uttar Pradesh,31375,11006,4782,7547,7037,24654,36,12,5,8,8,31
West Bengal,9426,716,2270,31,162,14886,34,2,8,0,0,56
Andaman & Nicobar Islands,356,38,52,27,0,0,75,8,10,5,0,2
Chandigarh,718,7,0,16,2,8,95,0,0,2,0,3
Dadra & Nagar Haveli,94,6,0,10,0,60,55,3,0,5,0,37
Daman & Diu,139,8,0,32,3,3,75,4,0,17,1,3
Delhi,6043,660,377,274,82,7425,40,4,2,1,0,53
Lakshadweep,0,0,2,0,0,0,0,0,100,0,0,0
Puducherry,1423,324,1859,14,0,47,38,8,50,0,0,4
India,769144,68799,36688,30623,19528,159018,70,6,3,2,1,18
