1,0,1,Lakshadweep
75,120,46,Nagaland
557,853,173,Tripura
538,955,81,Manipur
8222,5651,4901,Bihar
238,323,17,Andaman & Nicobar Islands
620,354,150,Meghalaya
83,68,70,Mizoram
13580,11859,6544,West Bengal
5501,7692,958,Jammu & Kashmir
7435,6127,2572,Assam
4932,3793,3027,Jharkhand
35612,25096,19320,Uttar Pradesh
1591,1735,962,Uttarakhand
249,391,149,Arunachal Pradesh
7375,7154,1591,Delhi
24888,30051,8541,Andhra Pradesh
10532,11312,4463,Odisha
210,263,85,Sikkim
39878,35884,12935,Maharashtra
428,329,151,Chandigarh
70,130,46,Dadra & Nagar Haveli
39420,44108,4287,Kerala
53972,57873,9646,Madhya Pradesh
21859,19949,8136,Gujarat
23066,24103,10465,Rajasthan
13580,12955,3908,Chhattisgarh
3168,5764,1271,Himachal Pradesh
71,102,38,Daman & Diu
6952,4351,5077,Punjab
44403,54556,11133,Karnataka
1766,1786,244,Puducherry
11234,10531,5024,Haryana
4304,2026,336,Goa
71431,82163,17218,Tamil Nadu
22811,24217,7219,Telangana
480652,494624,150785,India
